Title,Rating
The Shawshank Redemption,9.3
The Godfather,9.2
The Dark Knight,9.1
The Godfather Part II,9.0
12 Angry Men,9.0
The Lord of the Rings: The Return of the King,9.0
Schindler's List,9.0
The Lord of the Rings: The Fellowship of the Ring,8.9
Pulp Fiction,8.8
"The Good, the Bad and the Ugly",8.8
The Lord of the Rings: The Two Towers,8.8
Forrest Gump,8.8
Fight Club,8.8
Inception,8.8
Star Wars: Episode V - The Empire Strikes Back,8.7
The Matrix,8.7
GoodFellas,8.7
Interstellar,8.7
One Flew Over the Cuckoo's Nest,8.6
Seven,8.6
It's a Wonderful Life,8.6
The Silence of the Lambs,8.6
Saving Private Ryan,8.6
Seven Samurai,8.6
The Green Mile,8.6
City of God,8.6
Life Is Beautiful,8.6
Terminator 2: Judgment Day,8.6
Back to the Future,8.5
Star Wars: Episode IV - A New Hope,8.6
Spirited Away,8.6
Kill Bill: The Whole Bloody Affair,8.7
Gladiator,8.5
The Pianist,8.5
Parasite,8.5
Grave of the Fireflies,8.5
Psycho,8.5
The Lion King,8.5
Harakiri,8.6
The Departed,8.5
Whiplash,8.5
The Prestige,8.5
American History X,8.5
Léon: The Professional,8.5
Spider-Man: Across the Spider-Verse,8.5
Cinema Paradiso,8.5
Casablanca,8.5
The Intouchables,8.5
The Usual Suspects,8.5
Django Unchained,8.5
Alien,8.5
Rear Window,8.4
Modern Times,8.5
Once Upon a Time in the West,8.5
City Lights,8.5
Apocalypse Now,8.4
WALL·E,8.4
Memento,8.4
Dune: Part Two,8.4
Avengers: Infinity War,8.4
Raiders of the Lost Ark,8.4
The Lives of Others,8.4
Spider-Man: Into the Spider-Verse,8.4
Sunset Boulevard,8.4
Witness for the Prosecution,8.4
Paths of Glory,8.4
The Shining,8.4
The Great Dictator,8.4
Inglourious Basterds,8.4
Aliens,8.4
12th Fail,8.7
High and Low,8.4
Avengers: Endgame,8.4
Good Will Hunting,8.4
The Dark Knight Rises,8.4
Coco,8.4
Amadeus,8.4
Toy Story,8.3
Your Name.,8.4
Das Boot,8.3
Braveheart,8.3
Princess Mononoke,8.3
Oldboy,8.3
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,8.3
3 Idiots,8.4
American Beauty,8.3
Capernaum,8.4
Singin' in the Rain,8.3
Joker,8.3
Once Upon a Time in America,8.3
Star Wars: Episode VI - Return of the Jedi,8.3
Come and See,8.3
Toy Story 3,8.3
Requiem for a Dream,8.3
Ikiru,8.3
The Hunt,8.3
Incendies,8.3
Eternal Sunshine of the Spotless Mind,8.3
The Apartment,8.3
Lawrence of Arabia,8.3
Heat,8.3
Scarface,8.3
Reservoir Dogs,8.3
2001: A Space Odyssey,8.3
Up,8.3
Double Indemnity,8.3
North by Northwest,8.3
Like Stars on Earth,8.3
Full Metal Jacket,8.2
M,8.3
Amélie,8.3
A Separation,8.3
Citizen Kane,8.2
Vertigo,8.2
Die Hard,8.2
To Kill a Mockingbird,8.2
Indiana Jones and the Last Crusade,8.2
The Sting,8.2
A Clockwork Orange,8.2
Metropolis,8.2
I Swear,8.4
1917,8.2
Snatch,8.2
The Wolf of Wall Street,8.2
Downfall,8.2
The Truman Show,8.2
L.A. Confidential,8.2
Dangal,8.3
Project Hail Mary,8.3
Shutter Island,8.2
Bicycle Thieves,8.2
Green Book,8.2
Oppenheimer,8.2
Judgment at Nuremberg,8.3
Batman Begins,8.2
Jurassic Park,8.2
Hamilton,8.3
For a Few Dollars More,8.2
Taxi Driver,8.2
Some Like It Hot,8.2
Attack on Titan: The Last Attack,9.0
There Will Be Blood,8.2
The Father,8.2
The Kid,8.2
All About Eve,8.2
The Sixth Sense,8.2
Ran,8.2
Casino,8.2
No Country for Old Men,8.2
The Thing,8.2
Prisoners,8.2
Top Gun: Maverick,8.2
Kill Bill: Vol. 1,8.2
Pan's Labyrinth,8.2
Unforgiven,8.2
A Beautiful Mind,8.2
Howl's Moving Castle,8.2
The Treasure of the Sierra Madre,8.2
Finding Nemo,8.2
Klaus,8.2
Yojimbo,8.2
The Elephant Man,8.2
The Great Escape,8.2
Monty Python and the Holy Grail,8.1
Demon Slayer: Kimetsu No Yaiba Infinity Castle,8.4
Dial M for Murder,8.1
The Secret in Their Eyes,8.2
Gone with the Wind,8.2
"Lock, Stock and Two Smoking Barrels",8.1
Chinatown,8.1
The Best of Youth,8.4
V for Vendetta,8.1
Catch Me If You Can,8.1
Inside Out,8.1
Trainspotting,8.1
"Three Billboards Outside Ebbing, Missouri",8.1
Rashomon,8.1
Dead Poets Society,8.1
The Bridge on the River Kwai,8.1
Harry Potter and the Deathly Hallows: Part 2,8.1
The Wild Robot,8.2
Barry Lyndon,8.1
Warrior,8.1
Ben-Hur,8.1
Fargo,8.1
Million Dollar Baby,8.1
Mad Max: Fury Road,8.1
Hacksaw Ridge,8.1
Children of Heaven,8.2
Raging Bull,8.1
My Neighbor Totoro,8.1
Gran Torino,8.1
Ratatouille,8.1
12 Years a Slave,8.1
The Grand Budapest Hotel,8.1
Memories of Murder,8.1
Before Sunrise,8.1
How to Train Your Dragon,8.1
Blade Runner,8.1
"Monsters, Inc.",8.1
Gone Girl,8.1
Spider-Man: No Way Home,8.1
Jaws,8.1
